,id,imdb_id,production_company
3,36836.0,tt0107566,Showcase Entertaiment Inc.
0,6194.0,tt0110391,Warner Bros.
0,4.0,tt0113691,Paramount Pictures
0,181.0,tt0110428,Channel Four Films
1,798.0,tt0110428,Samuel Goldwyn Company
2,23022.0,tt0110428,Close Call Films
0,70.0,tt0109836,American Zoetrope
1,559.0,tt0109836,TriStar Pictures
0,2.0,tt0113755,Walt Disney Pictures
0,559.0,tt0110538,TriStar Pictures
0,4.0,tt0110516,Paramount Pictures
1,862.0,tt0110516,The Kennedy/Marshall Company
0,306.0,tt0110527,Twentieth Century Fox Film Corporation
0,915.0,tt0113808,Hollywood Pictures
0,70.0,tt0113896,American Zoetrope
1,3906.0,tt0113896,American Playhouse
2,20928.0,tt0113896,Majestic Films International
3,89873.0,tt0113896,Newcomb Productions
0,2428.0,tt0113870,Wolper Organization
1,6194.0,tt0113870,Warner Bros.
0,4.0,tt0110684,Paramount Pictures
1,594.0,tt0110684,Capella International
2,761.0,tt0110684,Cinehaus
0,306.0,tt0110638,Twentieth Century Fox Film Corporation
1,802.0,tt0110638,Egg Pictures
2,1382.0,tt0110638,PolyGram Filmed Entertainment
0,4319.0,tt0113967,40 Acres & A Mule Filmworks
0,7260.0,tt0117169,TOEI
1,42935.0,tt0117169,Distant Justice Joint Venture
0,11139.0,tt0106402,Metrodome Films
0,7954.0,tt0113948,Filmwerks
1,21437.0,tt0113948,Imperial Entertainment
0,23098.0,tt0110671,Triumph Films
0,508.0,tt0110632,Regency Enterprises
